3851130000;3851130023;"Сибирьтелеком"" Алтайский филиал";Новозоринский |Павловский |Алтайский край
3855027000;3855027019;Ростелеком;Шипуновский |Алтайский край
3855027100;3855027264;Ростелеком;Шипуновский |Алтайский край
3855027300;3855027899;Ростелеком;Шипуновский |Алтайский край
3855028300;3855028315;Ростелеком;Шипуновский |Алтайский край
3855028700;3855028719;Ростелеком;Шипуновский |Алтайский край
3855029100;3855029119;Ростелеком;Шипуновский |Алтайский край
3855029200;3855029319;Ростелеком;Шипуновский |Алтайский край
3855029400;3855029843;Ростелеком;Шипуновский |Алтайский край
3855029850;3855029865;Ростелеком;Шипуновский |Алтайский край
3855041000;3855042007;Ростелеком;Шипуновский |Алтайский край
3855121300;3855121499;Ростелеком;Калманский |Алтайский край
3855122000;3855123151;Ростелеком;Калманский |Алтайский край
3855123256;3855123399;Ростелеком;Калманский |Алтайский край
3855123410;3855123459;Ростелеком;Калманский |Алтайский край
3855123460;3855123507;Ростелеком;Калманский |Алтайский край
3855124300;3855124399;Ростелеком;Калманский |Алтайский край
3855124410;3855124459;Ростелеком;Калманский |Алтайский край
3855124800;3855124843;Ростелеком;Калманский |Алтайский край
3855124900;3855125019;Ростелеком;Калманский |Алтайский край
3855125100;3855125611;Ростелеком;Калманский |Алтайский край
3855125710;3855125759;Ростелеком;Калманский |Алтайский край
3855125910;3855125959;Ростелеком;Калманский |Алтайский край
3855126300;3855126499;Ростелеком;Калманский |Алтайский край
3855127300;3855127399;Ростелеком;Калманский |Алтайский край
3855128300;3855128443;Ростелеком;Калманский |Алтайский край
3855129310;3855129359;Ростелеком;Калманский |Алтайский край
3855129360;3855129407;Ростелеком;Калманский |Алтайский край
3855129408;3855129431;Ростелеком;Калманский |Алтайский край
3855221000;3855224071;Ростелеком;Топчихинский |Алтайский край
3855224300;3855224399;Ростелеком;Топчихинский |Алтайский край
3855224410;3855224459;Ростелеком;Топчихинский |Алтайский край
3855224500;3855224699;Ростелеком;Топчихинский |Алтайский край
3855224710;3855224759;Ростелеком;Топчихинский |Алтайский край
3855225100;3855225199;Ростелеком;Топчихинский |Алтайский край
3855225300;3855225399;Ростелеком;Топчихинский |Алтайский край
3855225410;3855225459;Ростелеком;Топчихинский |Алтайский край
3855225500;3855225599;Ростелеком;Топчихинский |Алтайский край
3855225610;3855225659;Ростелеком;Топчихинский |Алтайский край
3855226100;3855226199;Ростелеком;Топчихинский |Алтайский край
3855226300;3855226399;Ростелеком;Топчихинский |Алтайский край
3855226410;3855226459;Ростелеком;Топчихинский |Алтайский край
3855226500;3855226599;Ростелеком;Топчихинский |Алтайский край
3855226610;3855226659;Ростелеком;Топчихинский |Алтайский край
3855227100;3855227199;Ростелеком;Топчихинский |Алтайский край
3855227300;3855227883;Ростелеком;Топчихинский |Алтайский край
3855228300;3855228599;Ростелеком;Топчихинский |Алтайский край
3855229100;3855229199;Ростелеком;Топчихинский |Алтайский край
3855229300;3855229459;Ростелеком;Топчихинский |Алтайский край
3855320000;3855320099;Ростелеком;Алейск |Алтайский край
3855320100;3855325299;Ростелеком;Алейский |Алтайский край
3855325300;3855325399;Ростелеком;Алейск |Алтайский край
3855325400;3855325699;Ростелеком;Алейский |Алтайский край
3855325700;3855325999;Ростелеком;Алейск |Алтайский край
3855326000;3855326639;Ростелеком;Алейский |Алтайский край
3855326640;3855326699;Ростелеком;Алейск |Алтайский край
3855326700;3855326715;Ростелеком;Алейский |Алтайский край
3855326716;3855326799;Ростелеком;Алейск |Алтайский край
3855326800;3855326815;Ростелеком;Алейский |Алтайский край
3855326816;3855327099;Ростелеком;Алейск |Алтайский край
3855327100;3855327611;Ростелеком;Алейский |Алтайский край
3855327700;3855327999;Ростелеком;Алейский |Алтайский край
3855328200;3855328599;Российские железные дороги;Алейск |Алтайский край
3855329000;3855329999;Ростелеком;Алейск |Алтайский край
3855330400;3855330417;Ростелеком;Алейский |Алтайский край
3855330500;3855330723;Ростелеком;Алейский |Алтайский край
3855330724;3855330755;Ростелеком;Алейский |Алтайский край
3855331200;3855331399;Ростелеком;Алейский |Алтайский край
3855332300;3855332493;Ростелеком;Алейский |Алтайский край
3855333200;3855333231;Ростелеком;Алейский |Алтайский край
3855333300;3855333399;Ростелеком;Алейский |Алтайский край
3855333410;3855333459;Ростелеком;Алейский |Алтайский край
3855334300;3855334459;Ростелеком;Алейский |Алтайский край
3855334500;3855334717;Ростелеком;Алейский |Алтайский край
3855335300;3855335399;Ростелеком;Алейский |Алтайский край
3855335500;3855335659;Ростелеком;Алейский |Алтайский край
3855335710;3855335759;Ростелеком;Алейский |Алтайский край
3855336300;3855336399;Ростелеком;Алейский |Алтайский край
3855336500;3855336659;Ростелеком;Алейский |Алтайский край
3855337300;3855337491;Ростелеком;Алейский |Алтайский край
3855338300;3855338399;Ростелеком;Алейский |Алтайский край
3855338410;3855338459;Ростелеком;Алейский |Алтайский край
3855338500;3855338699;Ростелеком;Алейский |Алтайский край
3855339300;3855339399;Ростелеком;Алейский |Алтайский край
3855339410;3855339459;Ростелеком;Алейский |Алтайский край
3855340200;3855340217;Ростелеком;Алейский |Алтайский край
3855340300;3855340399;Ростелеком;Алейский |Алтайский край
3855340500;3855340677;Ростелеком;Алейский |Алтайский край
3855340700;3855340799;Ростелеком;Алейский |Алтайский край
3855341300;3855341399;Ростелеком;Алейский |Алтайский край
3855342200;3855342499;Ростелеком;Алейский |Алтайский край
3855342510;3855342559;Ростелеком;Алейский |Алтайский край
3855343000;3855343999;Дианэт;Алейск |Алтайский край
3855344200;3855344499;Ростелеком;Алейский |Алтайский край
3855345300;3855345491;Ростелеком;Алейский |Алтайский край
3855346500;3855346629;Ростелеком;Алейский |Алтайский край
3855348300;3855348399;Ростелеком;Алейский |Алтайский край
3855348500;3855348999;Ростелеком;Алейский |Алтайский край
3855349300;3855349499;Ростелеком;Алейский |Алтайский край
3855355500;3855355599;Дианэт;Алейск |Алтайский край
3855366000;3855366999;Дианэт;Алейск |Алтайский край
3855377700;3855377799;Дианэт;Алейск |Алтайский край
3855399900;3855399999;Дианэт;Алейск |Алтайский край
3855421100;3855421851;Ростелеком;Усть - Пристанский |Алтайский край
3855422000;3855422999;Ростелеком;Усть - Пристанский |Алтайский край
3855423100;3855423285;Ростелеком;Усть - Пристанский |Алтайский край
3855423300;3855423459;Ростелеком;Усть - Пристанский |Алтайский край
3855424300;3855424459;Ростелеком;Усть - Пристанский |Алтайский край
3855424500;3855424765;Ростелеком;Усть - Пристанский |Алтайский край
3855424800;3855424839;Ростелеком;Усть - Пристанский |Алтайский край
3855425300;3855425399;Ростелеком;Усть - Пристанский |Алтайский край
3855425400;3855425409;Ростелеком;Усть - Пристанский |Алтайский край
3855425410;3855425459;Ростелеком;Усть - Пристанский |Алтайский край
3855425460;3855425473;Ростелеком;Усть - Пристанский |Алтайский край
3855425474;3855425499;Ростелеком;Усть - Пристанский |Алтайский край
3855425500;3855425533;Ростелеком;Усть - Пристанский |Алтайский край
3855426110;3855426159;Ростелеком;Усть - Пристанский |Алтайский край
3855426200;3855426205;Ростелеком;Усть - Пристанский |Алтайский край
3855426300;3855426563;Ростелеком;Усть - Пристанский |Алтайский край
3855427110;3855427261;Ростелеком;Усть - Пристанский |Алтайский край
3855427300;3855427399;Ростелеком;Усть - Пристанский |Алтайский край
3855427410;3855427459;Ростелеком;Усть - Пристанский |Алтайский край
3855427500;3855427591;Ростелеком;Усть - Пристанский |Алтайский край
3855427710;3855427759;Ростелеком;Усть - Пристанский |Алтайский край
3855427800;3855427813;Ростелеком;Усть - Пристанский |Алтайский край
3855427910;3855427959;Ростелеком;Усть - Пристанский |Алтайский край
3855428110;3855428183;Ростелеком;Усть - Пристанский |Алтайский край
3855428200;3855428269;Ростелеком;Усть - Пристанский |Алтайский край
3855428270;3855428293;Ростелеком;Усть - Пристанский |Алтайский край
3855428300;3855428459;Ростелеком;Усть - Пристанский |Алтайский край
3855428500;3855428691;Ростелеком;Усть - Пристанский |Алтайский край
3855428700;3855428709;Ростелеком;Усть - Пристанский |Алтайский край
3855429300;3855429491;Ростелеком;Усть - Пристанский |Алтайский край
3855521300;3855521565;Ростелеком;Новичихинский |Алтайский край
3855522000;3855523607;Ростелеком;Новичихинский |Алтайский край
3855524300;3855524515;Ростелеком;Новичихинский |Алтайский край
3855525300;3855525467;Ростелеком;Новичихинский |Алтайский край
3855525500;3855525739;Ростелеком;Новичихинский |Алтайский край
3855526300;3855526467;Ростелеком;Новичихинский |Алтайский край
3855526468;3855526491;Ростелеком;Новичихинский |Алтайский край
3855527300;3855527467;Ростелеком;Новичихинский |Алтайский край
3855528300;3855528467;Ростелеком;Новичихинский |Алтайский край
3855529300;3855529419;Ростелеком;Новичихинский |Алтайский край
3855620000;3855623999;Ростелеком;Поспелихинский |Алтайский край
3855624100;3855624195;Ростелеком;Поспелихинский |Алтайский край
3855624200;3855624799;Ростелеком;Поспелихинский |Алтайский край
3855625000;3855625095;Ростелеком;Поспелихинский |Алтайский край
3855625100;3855625295;Ростелеком;Поспелихинский |Алтайский край
3855625300;3855625399;Ростелеком;Поспелихинский |Алтайский край
3855625500;3855625799;Ростелеком;Поспелихинский |Алтайский край
3855625900;3855626195;Ростелеком;Поспелихинский |Алтайский край
3855626400;3855626495;Ростелеком;Поспелихинский |Алтайский край
3855626600;3855626995;Ростелеком;Поспелихинский |Алтайский край
3855627100;3855627199;Ростелеком;Поспелихинский |Алтайский край
3855627300;3855627399;Ростелеком;Поспелихинский |Алтайский край
3855627410;3855627459;Ростелеком;Поспелихинский |Алтайский край
3855627510;3855627559;Ростелеком;Поспелихинский |Алтайский край
3855628000;3855628799;Ростелеком;Поспелихинский |Алтайский край
3855629300;3855629699;Ростелеком;Поспелихинский |Алтайский край
3855710000;3855714099;Ростелеком;Рубцовский |Алтайский край
3855714100;3855714409;Дианэт;Рубцовск |Алтайский край
3855720000;3855724351;Ростелеком;Рубцовск |Алтайский край
3855724352;3855725999;Ростелеком;Рубцовский |Алтайский край
3855726000;3855726999;Ростелеком;Рубцовск |Алтайский край
3855727000;3855727999;Ростелеком;Рубцовский |Алтайский край
3855728000;3855728395;Ростелеком;Рубцовск |Алтайский край
3855728396;3855728599;Ростелеком;Рубцовский |Алтайский край
3855728600;3855728663;Рубцовск;Рубцовск |Алтайский край
3855728664;3855729999;Ростелеком;Рубцовск |Алтайский край
3855730000;3855739999;Ростелеком;Рубцовский |Алтайский край
3855740000;3855749999;Ростелеком;Рубцовск |Алтайский край
3855750000;3855754999;Ростелеком;Рубцовский |Алтайский край
3855755000;3855756099;Ростелеком;Рубцовск |Алтайский край
3855756100;3855756599;Ростелеком;Рубцовский |Алтайский край
3855756600;3855756999;Ростелеком;Рубцовск |Алтайский край
3855757000;3855757999;Ростелеком;Рубцовский |Алтайский край
3855758000;3855758499;ПРЕСТИЖ-ИНТЕРНЕТ;Рубцовск |Алтайский край
3855758500;3855758999;Ростелеком;Рубцовск |Алтайский край
3855759000;3855759999;Ростелеком;Рубцовский |Алтайский край
3855760000;3855769999;Ростелеком;Рубцовск |Алтайский край
3855770000;3855770999;Связь;Рубцовск |Алтайский край
3855771000;3855771099;Ростелеком;Рубцовск |Алтайский край
3855771100;3855771499;Ростелеком;Рубцовский |Алтайский край
3855771500;3855771599;Ростелеком;Рубцовск |Алтайский край
3855771600;3855771699;Ростелеком;Рубцовский |Алтайский край
3855771700;3855771999;УГМК-Телеком;Рубцовск |Алтайский край
3855772000;3855772355;Ростелеком;Рубцовский |Алтайский край
3855772360;3855772399;Дианэт;Рубцовск |Алтайский край
3855772400;3855772999;Ростелеком;Рубцовск |Алтайский край
3855773000;3855773999;Ростелеком;Рубцовский |Алтайский край
3855774000;3855774299;Ростелеком;Рубцовск |Алтайский край
3855774300;3855774799;Ростелеком;Рубцовский |Алтайский край
3855774800;3855774899;Ростелеком;Рубцовск |Алтайский край
3855774900;3855775799;Ростелеком;Рубцовский |Алтайский край
3855775800;3855775899;Ростелеком;Рубцовск |Алтайский край
3855775900;3855775959;Ростелеком;Рубцовский |Алтайский край
3855775960;3855775999;Дианэт;Рубцовск |Алтайский край
3855776000;3855776199;Ростелеком;Рубцовск |Алтайский край
3855776200;3855776799;Ростелеком;Рубцовский |Алтайский край
3855776800;3855776999;УГМК-Телеком;Рубцовск |Алтайский край
3855777000;3855777999;Ростелеком;Рубцовск |Алтайский край
3855778000;3855778015;Ростелеком;Рубцовский |Алтайский край
3855778016;3855778039;Ростелеком;Рубцовский |Алтайский край
3855778040;3855778099;Дианэт;Рубцовск |Алтайский край
3855778100;3855778799;Ростелеком;Рубцовский |Алтайский край
3855778800;3855778849;Ростелеком;Рубцовский |Алтайский край
3855778850;3855778899;Дианэт;Рубцовск |Алтайский край
3855778900;3855778996;Ростелеком;Рубцовский |Алтайский край
3855779000;3855779799;Ростелеком;Рубцовский |Алтайский край
3855779800;3855779999;Ростелеком;Рубцовск |Алтайский край
3855790000;3855790999;Связь;Рубцовск |Алтайский край
3855791000;3855792499;Ростелеком;Рубцовск |Алтайский край
3855792500;3855792999;Связь;Рубцовск |Алтайский край
3855793000;3855793999;Российские железные дороги;Рубцовск |Алтайский край
3855794000;3855794999;Ростелеком;Рубцовск |Алтайский край
3855795000;3855795999;ИнТелКом;Рубцовск |Алтайский край
3855796000;3855796099;Рубцовский машиностроительный завод;Рубцовск |Алтайский край
3855796100;3855796499;Дианэт;Рубцовск |Алтайский край
3855796500;3855796599;Ростелеком;Рубцовск |Алтайский край
3855796600;3855796999;Рубцовский машиностроительный завод;Рубцовск |Алтайский край
3855797000;3855797499;ИнТелКом;Рубцовск |Алтайский край
3855797500;3855797999;ИнТелКом;Рубцовск |Алтайский край
3855798000;3855799999;Ростелеком;Рубцовск |Алтайский край
3855821100;3855821483;Ростелеком;Шелаболихинский |Алтайский край
3855821500;3855821629;Ростелеком;Шелаболихинский |Алтайский край
3855822000;3855823799;Ростелеком;Шелаболихинский |Алтайский край
3855824300;3855824499;Ростелеком;Шелаболихинский |Алтайский край
3855825300;3855825555;Ростелеком;Шелаболихинский |Алтайский край
3855825600;3855825729;Ростелеком;Шелаболихинский |Алтайский край
3855826300;3855826555;Ростелеком;Шелаболихинский |Алтайский край
3855827300;3855827555;Ростелеком;Шелаболихинский |Алтайский край
3855828100;3855828819;Ростелеком;Шелаболихинский |Алтайский край
3855829300;3855829427;Ростелеком;Шелаболихинский |Алтайский край
3855829500;3855829899;Ростелеком;Шелаболихинский |Алтайский край
3855921000;3855922727;Ростелеком;Третьяковский |Алтайский край
3855923300;3855923467;Ростелеком;Третьяковский |Алтайский край
3855923468;3855923491;Ростелеком;Третьяковский |Алтайский край
3855923500;3855923667;Ростелеком;Третьяковский |Алтайский край
3855924300;3855924419;Ростелеком;Третьяковский |Алтайский край
3855924500;3855924643;Ростелеком;Третьяковский |Алтайский край
3855925310;3855925359;Ростелеком;Третьяковский |Алтайский край
3855925400;3855925567;Ростелеком;Третьяковский |Алтайский край
3855925568;3855925599;Ростелеком;Третьяковский |Алтайский край
3855925700;3855925819;Ростелеком;Третьяковский |Алтайский край
3855926300;3855926515;Ростелеком;Третьяковский |Алтайский край
3855926516;3855926539;Ростелеком;Третьяковский |Алтайский край
3855926540;3855926563;Ростелеком;Третьяковский |Алтайский край
3855927200;3855927215;Ростелеком;Третьяковский |Алтайский край
3855927300;3855927763;Ростелеком;Третьяковский |Алтайский край
3855927910;3855927959;Ростелеком;Третьяковский |Алтайский край
3855928300;3855928443;Ростелеком;Третьяковский |Алтайский край
3855928444;3855928467;Ростелеком;Третьяковский |Алтайский край
3855929300;3855929539;Ростелеком;Третьяковский |Алтайский край
3856021300;3856021395;Ростелеком;Егорьевский |Алтайский край
3856021400;3856022935;Ростелеком;Егорьевский |Алтайский край
3856023300;3856023467;Ростелеком;Егорьевский |Алтайский край
3856023600;3856023671;Ростелеком;Егорьевский |Алтайский край
3856024300;3856024539;Ростелеком;Егорьевский |Алтайский край
3856025300;3856025419;Ростелеком;Егорьевский |Алтайский край
3856026300;3856026499;Ростелеком;Егорьевский |Алтайский край
3856027300;3856027539;Ростелеком;Егорьевский |Алтайский край
3856027600;3856027719;Ростелеком;Егорьевский |Алтайский край
3856028300;3856028811;Ростелеком;Егорьевский |Алтайский край
3856029300;3856029499;Ростелеком;Егорьевский |Алтайский край
3856120000;3856120159;Ростелеком;Романовский |Алтайский край
3856121000;3856122999;Ростелеком;Романовский |Алтайский край
3856123100;3856123495;Ростелеком;Романовский |Алтайский край
3856123500;3856123571;Ростелеком;Романовский |Алтайский край
3856124300;3856124599;Ростелеком;Романовский |Алтайский край
3856125200;3856125214;Ростелеком;Романовский |Алтайский край
3856125300;3856125499;Ростелеком;Романовский |Алтайский край
3856126300;3856126699;Ростелеком;Романовский |Алтайский край
3856127300;3856127399;Ростелеком;Романовский |Алтайский край
3856127400;3856127409;Ростелеком;Романовский |Алтайский край
3856127410;3856127459;Ростелеком;Романовский |Алтайский край
3856127460;3856127467;Ростелеком;Романовский |Алтайский край
3856128100;3856128167;Ростелеком;Романовский |Алтайский край
3856128200;3856128239;Ростелеком;Романовский |Алтайский край
3856128300;3856128799;Ростелеком;Романовский |Алтайский край
3856128900;3856128999;Ростелеком;Романовский |Алтайский край
3856129100;3856129199;Ростелеком;Романовский |Алтайский край
3856129300;3856129419;Ростелеком;Романовский |Алтайский край
3856129500;3856129599;Ростелеком;Романовский |Алтайский край
3856129610;3856129659;Ростелеком;Романовский |Алтайский край
3856221000;3856222999;Ростелеком;Завьяловский |Алтайский край
3856223100;3856223599;Ростелеком;Завьяловский |Алтайский край
3856224300;3856224611;Ростелеком;Завьяловский |Алтайский край
3856225100;3856225499;Ростелеком;Завьяловский |Алтайский край
3856225510;3856225559;Ростелеком;Завьяловский |Алтайский край
3856225610;3856225659;Ростелеком;Завьяловский |Алтайский край
3856226100;3856226899;Ростелеком;Завьяловский |Алтайский край
3856227300;3856227539;Ростелеком;Завьяловский |Алтайский край
3856228000;3856228099;Ростелеком;Завьяловский |Алтайский край
3856228110;3856228159;Ростелеком;Завьяловский |Алтайский край
3856228200;3856228899;Ростелеком;Завьяловский |Алтайский край
3856228910;3856228959;Ростелеком;Завьяловский |Алтайский край
3856229010;3856229059;Ростелеком;Завьяловский |Алтайский край
3856229100;3856229199;Ростелеком;Завьяловский |Алтайский край
3856229300;3856229799;Ростелеком;Завьяловский |Алтайский край
3856231100;3856231195;Ростелеком;Завьяловский |Алтайский край
3856231200;3856231295;Ростелеком;Завьяловский |Алтайский край
3856231300;3856231395;Ростелеком;Завьяловский |Алтайский край
3856231400;3856231495;Ростелеком;Завьяловский |Алтайский край
3856238200;3856238775;Ростелеком;Завьяловский |Алтайский край
3856321000;3856323531;Ростелеком;Родинский |Алтайский край
3856324100;3856324171;Ростелеком;Родинский |Алтайский край
3856324300;3856324515;Ростелеком;Родинский |Алтайский край
3856325300;3856325563;Ростелеком;Родинский |Алтайский край
3856326010;3856326059;Ростелеком;Родинский |Алтайский край
3856326100;3856326199;Ростелеком;Родинский |Алтайский край
3856326300;3856326867;Ростелеком;Родинский |Алтайский край
3856326910;3856326959;Ростелеком;Родинский |Алтайский край
3856327300;3856327499;Ростелеком;Родинский |Алтайский край
3856328000;3856328019;Ростелеком;Родинский |Алтайский край
3856328100;3856328115;Ростелеком;Родинский |Алтайский край
3856328200;3856328219;Ростелеком;Родинский |Алтайский край
3856328300;3856328399;Ростелеком;Родинский |Алтайский край
3856328410;3856328459;Ростелеком;Родинский |Алтайский край
3856329010;3856329059;Ростелеком;Родинский |Алтайский край
3856329100;3856329259;Ростелеком;Родинский |Алтайский край
3856329300;3856329999;Ростелеком;Родинский |Алтайский край
3856421000;3856424499;Ростелеком;Благовещенский |Алтайский край
3856425000;3856425055;Ростелеком;Благовещенский |Алтайский край
3856425056;3856425087;Ростелеком;Благовещенский |Алтайский край
3856425100;3856425563;Ростелеком;Благовещенский |Алтайский край
3856425700;3856425999;Ростелеком;Благовещенский |Алтайский край
3856426300;3856426763;Ростелеком;Благовещенский |Алтайский край
3856427300;3856427699;Ростелеком;Благовещенский |Алтайский край
3856428110;3856428159;Ростелеком;Благовещенский |Алтайский край
3856428300;3856428699;Ростелеком;Благовещенский |Алтайский край
3856428710;3856428759;Ростелеком;Благовещенский |Алтайский край
3856428810;3856428859;Ростелеком;Благовещенский |Алтайский край
3856428900;3856428999;Ростелеком;Благовещенский |Алтайский край
3856429110;3856429159;Ростелеком;Благовещенский |Алтайский край
3856429300;3856429599;Ростелеком;Благовещенский |Алтайский край
3856429700;3856429763;Ростелеком;Благовещенский |Алтайский край
3856431000;3856433047;Ростелеком;Благовещенский |Алтайский край
3856520000;3856523519;Ростелеком;Волчихинский |Алтайский край
3856524300;3856524499;Ростелеком;Волчихинский |Алтайский край
3856525000;3856525819;Ростелеком;Волчихинский |Алтайский край
3856525900;3856525999;Ростелеком;Волчихинский |Алтайский край
3856526110;3856526159;Ростелеком;Волчихинский |Алтайский край
3856526300;3856526699;Ростелеком;Волчихинский |Алтайский край
3856526710;3856526759;Ростелеком;Волчихинский |Алтайский край
3856526910;3856526959;Ростелеком;Волчихинский |Алтайский край
3856527300;3856527399;Ростелеком;Волчихинский |Алтайский край
3856528400;3856528499;Ростелеком;Волчихинский |Алтайский край
3856528600;3856528699;Ростелеком;Волчихинский |Алтайский край
3856529300;3856529523;Ростелеком;Волчихинский |Алтайский край
3856621000;3856623399;Ростелеком;Кулундинский |Алтайский край
3856623410;3856623459;Ростелеком;Кулундинский |Алтайский край
3856623500;3856623727;Ростелеком;Кулундинский |Алтайский край
3856624300;3856624699;Ростелеком;Кулундинский |Алтайский край
3856625000;3856625999;Российские железные дороги;Кулундинский |Алтайский край
3856626110;3856626159;Ростелеком;Кулундинский |Алтайский край
3856626300;3856626599;Ростелеком;Кулундинский |Алтайский край
3856626710;3856626759;Ростелеком;Кулундинский |Алтайский край
3856626810;3856626859;Ростелеком;Кулундинский |Алтайский край
3856626900;3856626999;Ростелеком;Кулундинский |Алтайский край
3856627100;3856627515;Ростелеком;Кулундинский |Алтайский край
3856628000;3856628051;Ростелеком;Кулундинский |Алтайский край
3856628100;3856628291;Ростелеком;Кулундинский |Алтайский край
3856628300;3856628723;Ростелеком;Кулундинский |Алтайский край
3856628872;3856629395;Ростелеком;Кулундинский |Алтайский край
3856629400;3856629763;Ростелеком;Кулундинский |Алтайский край
3856629772;3856629895;Ростелеком;Кулундинский |Алтайский край
3856629900;3856629947;Ростелеком;Кулундинский |Алтайский край
3856629996;3856629999;Ростелеком;Кулундинский |Алтайский край
3856722000;3856722023;Ростелеком;Табунский |Алтайский край
3856722024;3856722047;Ростелеком;Табунский |Алтайский край
3856722048;3856722071;Ростелеком;Табунский |Алтайский край
3856722100;3856723519;Ростелеком;Табунский |Алтайский край
3856723900;3856723999;Ростелеком;Табунский |Алтайский край
3856724300;3856724499;Ростелеком;Табунский |Алтайский край
3856725300;3856725539;Ростелеком;Табунский |Алтайский край
3856726300;3856726491;Ростелеком;Табунский |Алтайский край
3856727300;3856727399;Ростелеком;Табунский |Алтайский край
3856728300;3856728419;Ростелеком;Табунский |Алтайский край
3856820000;3856822199;Ростелеком;Яровое |Алтайский край
3856822200;3856822299;Дианэт;Славгород |Алтайский край
3856822300;3856827203;Ростелеком;Яровое |Алтайский край
3856829000;3856829095;Ростелеком;Славгород |Алтайский край
3856829100;3856829195;Ростелеком;Славгород |Алтайский край
3856829200;3856829295;Ростелеком;Славгород |Алтайский край
3856829300;3856829395;Ростелеком;Славгород |Алтайский край
3856829400;3856829495;Ростелеком;Славгород |Алтайский край
3856829500;3856829595;Ростелеком;Славгород |Алтайский край
3856829600;3856829695;Ростелеком;Славгород |Алтайский край
3856829700;3856829795;Ростелеком;Славгород |Алтайский край
3856829800;3856829895;Ростелеком;Славгород |Алтайский край
3856829900;3856829995;Ростелеком;Славгород |Алтайский край
3856830000;3856830999;Дианэт;Славгород |Алтайский край
3856831000;3856832499;Ростелеком;Славгородский |Алтайский край
3856833250;3856833744;ДиалогСибирь-Барнаул;Славгород |Алтайский край
3856835100;3856835699;"ордена Трудового Красного Знамени ""Открытое акционерное общество ""Алтайхимпром"" им. Г.С. Верещагина";Яровое |Алтайский край
3856837200;3856837599;Российские железные дороги;Славгород |Алтайский край
3856840000;3856846143;Ростелеком;Славгородский |Алтайский край
3856846144;3856846743;"Открытое акционерное общество ""Алтайхимпром"" им. Г.С. Верещагина";Яровое |Алтайский край
3856850000;3856854540;Ростелеком;Славгородский |Алтайский край
3856854541;3856855999;Ростелеком;Славгород |Алтайский край
3856856000;3856858300;Ростелеком;Славгородский |Алтайский край
3856858301;3856859093;Ростелеком;Славгород |Алтайский край
3856859600;3856859999;Ростелеком;Славгород |Алтайский край
3856866000;3856866999;Дианэт;Славгород |Алтайский край
3856870300;3856870499;Ростелеком;Славгородский |Алтайский край
3856871000;3856871095;Ростелеком;Славгородский |Алтайский край
3856871096;3856871139;Ростелеком;Славгородский |Алтайский край
3856871200;3856871999;Ростелеком;Славгородский |Алтайский край
3856872100;3856872399;Ростелеком;Славгородский |Алтайский край
3856873100;3856873399;Ростелеком;Славгородский |Алтайский край
3856873510;3856873559;Ростелеком;Славгородский |Алтайский край
3856873610;3856873659;Ростелеком;Славгородский |Алтайский край
3856874100;3856874483;Ростелеком;Славгородский |Алтайский край
3856875500;3856875799;Ростелеком;Славгород |Алтайский край
3856876100;3856876399;Ростелеком;Славгородский |Алтайский край
3856877200;3856877299;Ростелеком;Славгородский |Алтайский край
3856877300;3856877309;Ростелеком;Славгородский |Алтайский край
3856877310;3856877359;Ростелеком;Славгородский |Алтайский край
3856877360;3856877399;Ростелеком;Славгородский |Алтайский край
3856877770;3856877779;ДиалогСибирь-Барнаул;Славгород |Алтайский край
3856878300;3856878427;Ростелеком;Славгородский |Алтайский край
3856879000;3856879399;Ростелеком;Славгород |Алтайский край
3856899900;3856899999;ДиалогСибирь-Барнаул;Славгород |Алтайский край
3856921100;3856921947;Ростелеком;Хабарский |Алтайский край
3856922000;3856922999;Ростелеком;Хабарский |Алтайский край
3856923100;3856923287;Ростелеком;Хабарский |Алтайский край
3856923300;3856923667;Ростелеком;Хабарский |Алтайский край
3856923700;3856923887;Ростелеком;Хабарский |Алтайский край
3856924300;3856924407;Ростелеком;Хабарский |Алтайский край
3856924408;3856924431;Ростелеком;Хабарский |Алтайский край
3856924500;3856924799;Ростелеком;Хабарский |Алтайский край
3856925100;3856925659;Ростелеком;Хабарский |Алтайский край
3856926100;3856926315;Ростелеком;Хабарский |Алтайский край
3856926400;3856926499;Ростелеком;Хабарский |Алтайский край
3856927300;3856927467;Ростелеком;Хабарский |Алтайский край
3856927468;3856927515;Ростелеком;Хабарский |Алтайский край
3856927516;3856927539;Ростелеком;Хабарский |Алтайский край
3856928100;3856928199;Ростелеком;Хабарский |Алтайский край
3856928300;3856928467;Ростелеком;Хабарский |Алтайский край
3856928500;3856928567;Ростелеком;Хабарский |Алтайский край
3856929100;3856929355;Ростелеком;Хабарский |Алтайский край
3857021000;3857021011;Ростелеком;Михайловский |Алтайский край
3857021100;3857022999;Ростелеком;Михайловский |Алтайский край
3857023300;3857023619;Ростелеком;Михайловский |Алтайский край
3857024000;3857024055;Ростелеком;Михайловский |Алтайский край
3857024100;3857024123;Ростелеком;Михайловский |Алтайский край
3857024200;3857024255;Ростелеком;Михайловский |Алтайский край
3857024300;3857024499;Ростелеком;Михайловский |Алтайский край
3857024500;3857024979;Ростелеком;Михайловский |Михайловский |Алтайский край
3857025000;3857026999;Ростелеком;Михайловский |Алтайский край
3857027100;3857027999;Ростелеком;Михайловский |Алтайский край
3857028300;3857028399;Ростелеком;Михайловский |Алтайский край
3857028410;3857028459;Ростелеком;Михайловский |Алтайский край
